id,nameKo,nameEn,categoryTags,stageTags,description,icon,isActive
barbell_curl,바벨 컬,Barbell Curl,biceps,main,바벨을 사용해 이두근 전체에 고중량 자극을 주고 두툼한 앞팔을 형성하는 강력한 팔 운동입니다.,BI,true
barbell_row,바벨 로우,Barbell Row,back,main,,BI,true
barbell_squat,바벨 스쿼트,Barbell Squat,legs,main,,LG,true
bench_press,벤치 프레스,Bench Press,chest,main,,CH,true
bentover_lateral_raise,벤트오버 레터럴 레이즈,Bent-Over Lateral Raise,shoulder,main,상체를 숙여 후면 삼각근을 고립 자극함으로써 어깨 뒷면의 입체감을 완성하는 고립 운동입니다.,SH,true
bodyweight_squat,맨몸 스쿼트,Bodyweight Squat,bodyweight|legs,warmup|main,무게 없이 자신의 체중만을 이용해 스쿼트 자세를 익히고 하체 관절을 웜업하는 훌륭한 맨손 하체 운동입니다.,BW,true
cable_curl,케이블 컬,Cable Curl,biceps,main,,BI,true
cable_pushdown,케이블 푸시다운,Cable Pushdown,chest,main,,TR,true
calf_raise,카프 레이즈,Standing Calf Raise,legs,main|cooldown,"뒤꿈치를 들어 올려 종아리 근육(비복근, 가자미근)의 탄력과 발목 안정성을 극대화시키는 운동입니다.",LG,true
chest_press,체스트 프레스,Chest Press,triceps|chest,main,,CH,true
concentration_curl,컨센트레이션 컬,Concentration Curl,biceps,main,,BI,true
crunch,크런치,Crunch,bodyweight,main,상부 복직근을 집중적으로 쥐어짜 선명하고 탄탄한 복근 라인을 만드는 데 기여하는 대표적인 복부 운동입니다.,BW,true
deadlift,데드리프트,Conventional Deadlift,back|legs,main,전신 후면 사슬 근육 전체를 단련하고 강력한 코어와 파워를 형성하는 피트니스 3대 핵심 운동 중 하나입니다.,BK,true
dips,딥스,Dips,triceps,main,,TR,true
dumbbell_curl,덤벨 컬,Dumbbell Curl,biceps,main,,BI,true
dumbbell_fly,덤벨 플라이,Dumbbell Fly,chest,main,덤벨을 사용하여 가슴 안쪽 라인을 다듬고 대흉근을 깊게 스트레칭하는 데 효과적인 고립 운동입니다.,CH,true
dumbbell_front_raise,덤벨 프런트레이즈,Dumbbell Front Raise,shoulder,main,,CH,true
dumbbell_press,덤벨 프레스,Dumbbell Press,chest,main,,CH,true
dumbbell_row,덤벨 로우,Dumbbell Row,back,main,,BK,true
elliptical,엘립티컬,Elliptical,cardio,main,관절 충격이 거의 없도록 타원형 궤적을 그리며 상하체를 함께 흔드는 전신 고효율 유산소 운동기구입니다.,CA,true
ez_bar_curl,이지바 컬,EZ Bar Curl,biceps,main,,BI,true
face_pull,페이스 풀,Face Pull,shoulder|back,main|cooldown,"케이블을 얼굴 쪽으로 당겨 후면 삼각근과 회전근개, 상부 승모근 등 어깨 후면 건강을 관리하는 최고의 운동입니다.",SH,true
hack_squat,핵스쿼트,Hack Squat,legs,main,,LG,true
hammer_curl,해머 컬,Hammer Curl,biceps,main,덤벨을 세로로 쥐어 이두근 외측과 상완요골근을 자극하여 팔 전체의 볼륨과 두께를 보강하는 이두 운동입니다.,BI,true
hanging_leg_raise,행잉 레그 레이즈,Hanging Leg Raise,bodyweight,main,철봉에 매달려 다리를 올리며 하부 복직근과 코어 근력을 강력하게 활성화하는 상급 복부 트레이닝입니다.,BW,true
hip_abduction,힙어덕션,Hip Abduction,legs,main,내전근 자극,LG,true
incline_bench_press,인클라인 벤치프레스,Incline Bench Press,chest|shoulder|triceps,main,,CH,true
